address,floor,area,rent,price,date,kr_sqm,change,sqm,rooms
Kungsholmsgatan 9,3.0,"Kungsholmen,",2778.0,3500000.0,2020-02-20,102941.0,17.0,34.0,2.0
David Bagares Gata 20 A,2.0,"Vasastan - City/Norrmalm,",1123.0,3300000.0,2020-02-20,117857.0,27.0,28.0,1.0
Tomtebogatan 32,1.0,"Vasastan - Birkastan,",4541.0,7200000.0,2020-02-20,82759.0,3.0,87.0,3.0
Primusgatan 91,3.0,"Lilla Essingen - Kungsholmen,",3727.0,4550000.0,2020-02-20,73387.0,14.0,62.0,2.0
Celsiusgatan 4,5.0,"Kungsholmen,",1525.0,3220000.0,2020-02-20,123846.0,17.0,26.0,1.0
Götgatan 96,3.0,"Katarina/Sofia,",2001.0,6930000.0,2020-02-20,84512.0,11.0,82.0,3.0
Helgagatan 36A,3.0,"Södermalm Katarina,",2077.0,3300000.0,2020-02-20,91667.0,11.0,36.0,1.0
Karlavägen 70,1.0,"Östermalm,",1428.0,5925000.0,2020-02-20,126064.0,14.0,47.0,2.0
Tegnérlunden 6,1.0,"Vasastan - Tegnérlunden,",3078.0,5675000.0,2020-02-20,90079.0,3.0,63.0,2.0
Bergsundsgatan 7,6.0,"Södermalm Högalid,",2673.0,4050000.0,2020-02-20,115714.0,35.0,35.0,2.0
Bergsmarksvägen 12,2.0,"Stora Essingen,",3390.0,4400000.0,2020-02-20,77193.0,16.0,57.0,2.0
Furusundsgatan 11,7.0,"Gärdet,",2094.0,3875000.0,2020-02-20,113971.0,21.0,34.0,2.0
Sankt Paulsgatan 4 A,23.0,"Södermalm,",5218.0,8200000.0,2020-02-20,87234.0,12.0,94.0,4.0
Kungsholmsgatan 15,3.0,"Kungsholmen,",3598.0,6600000.0,2020-02-20,92958.0,10.0,71.0,3.0
Rålambsvägen 29,5.0,"Kungsholmen,",2922.0,4000000.0,2020-02-20,78431.0,15.0,51.0,2.0
Karlbergsvägen 89,2.0,"Vasastan / Birkastan,",2563.0,9650000.0,2020-02-20,98469.0,2.0,98.0,4.0
Artillerigatan 85,3.0,"Nedre Gärdet / Östermalm,",2551.0,6025000.0,2020-02-20,100417.0,16.0,60.0,2.0
Karlbergsvägen 50,4.0,"Vasastan,",3558.0,10800000.0,2020-02-20,121348.0,16.0,89.0,3.0
Hornsgatan 64 A,5.0,"Maria,",4981.0,10400000.0,2020-02-19,77037.0,2.0,135.0,4.0
Kammakargatan 19,3.0,"Vasastan,",1748.0,3650000.0,2020-02-19,96053.0,8.0,38.0,2.0
Skaraborgsgatan 9,4.0,"Maria,",3733.0,3850000.0,2020-02-19,78571.0,12.0,49.0,2.0
Högalidsgatan 42 D,3.0,"Hornstull,",1949.0,3550000.0,2020-02-19,98611.0,19.0,36.0,1.0
Vanadisvägen 23,3.0,"Vasastan,",5705.0,17200000.0,2020-02-19,105521.0,15.0,163.0,5.0
Bjurholmsgatan 37,1.0,"Södermalm Katarina,",3224.0,6450000.0,2020-02-19,97727.0,30.0,66.0,3.0
Öregrundsgatan 6,67.0,"Östermalm / Gärdet,",2884.0,4100000.0,2020-02-19,80392.0,17.0,51.0,2.0
Surbrunnsgatan 43B,2.0,"Vasastan,",2526.0,5000000.0,2020-02-19,104167.0,11.0,48.0,2.0
Lidnersgatan 12A,1.0,"Kungsholmen,",3222.0,3350000.0,2020-02-19,76136.0,24.0,44.0,2.0
Lundagatan 40B,3.0,"Södermalm,",1438.0,2500000.0,2020-02-19,96154.0,9.0,26.0,1.0
Storskärsgatan 4,5.0,"Nedre Gärdet / Östermalm,",1151.0,2800000.0,2020-02-19,112000.0,12.0,25.0,1.0
Grev Turegatan 59 C,3.0,"Östermalm,",3527.0,9400000.0,2020-02-19,127027.0,6.0,74.0,3.0
Slipgatan 5,1.0,"Södermalm,",2153.0,3450000.0,2020-02-19,84146.0,15.0,41.0,2.0
Vegagatan 18,2.0,"Vasastan/Odenplan,",2710.0,5500000.0,2020-02-19,107843.0,29.0,51.0,2.0
Lorensbergsgatan 5,5.0,"Södermalm,",1878.0,4375000.0,2020-02-19,115132.0,26.0,38.0,2.0
Rödabergsgatan 8,4.0,"Vasastan,",1597.0,3940000.0,2020-02-19,106486.0,20.0,37.0,2.0
Västmannagatan 50,77.0,"Vasastan/Odenplan,",1989.0,5500000.0,2020-02-19,171875.0,22.0,32.0,2.0
Inedalsgatan 15,4.0,"Kungsholmen,",1371.0,2930000.0,2020-02-19,146500.0,5.0,20.0,1.0
Chapmansgatan 3,5.0,"Kungsholmen,",3787.0,9700000.0,2020-02-19,110227.0,18.0,88.0,3.0
Blekholmsterrassen 7,7.0,"Norrmalm - City - Kungsholmen - Vasastan,",5216.0,5425000.0,2020-02-19,79779.0,14.0,68.0,3.0
Döbelnsgatan 95,3.0,"Vasastan - Sibirien,",985.0,3510000.0,2020-02-19,90000.0,17.0,39.0,1.0
Stureparken 11,2.0,"Östermalm,",1600.0,5600000.0,2020-02-19,107692.0,8.0,52.0,2.0
Linnégatan 39B,4.0,"Östermalm,",1216.0,3250000.0,2020-02-19,135417.0,23.0,24.0,1.0
Robert Almströmsgatan 10,2.0,"Vasastan - Birkastan,",2578.0,7425000.0,2020-02-18,117857.0,24.0,63.0,3.0
Geijersvägen 21,1.0,"Kungsholmen/Thorildsplan,",2275.0,3500000.0,2020-02-18,74468.0,17.0,47.0,2.0
Svarvargatan 12,2.0,"Kungsholmen,",1999.0,3450000.0,2020-02-18,104545.0,15.0,33.0,2.0
Sankt Göransgatan 98,4.0,"Kungsholmen Fridhemsplan,",5384.0,9950000.0,2020-02-18,83613.0,17.0,119.0,5.0
Tjärhovsgatan 6,5.0,"Södermalm Medborgarplatsen,",4656.0,11380000.0,2020-02-18,112673.0,20.0,101.0,4.0
Rörstrandsgatan 10,3.0,"Vasastan,",3099.0,10100000.0,2020-02-18,109783.0,9.0,92.0,3.0
Hornsgatan 180,1.0,"Hornstull - Södermalm,",2114.0,3340000.0,2020-02-18,115172.0,34.0,29.0,1.0
Västmannagatan 80,1.0,"Vasastan - Odenplan,",1293.0,4080000.0,2020-02-18,116571.0,20.0,35.0,1.0
Inedalsgatan 21,1.0,"Kungsholmen,",1594.0,3070000.0,2020-02-18,102333.0,18.0,30.0,1.0
Upplandsgatan 71,3.0,"Vasastan,",1845.0,6425000.0,2020-02-18,112719.0,24.0,57.0,3.0
Rindögatan 15,5.0,"Gärdet / Östermalm,",3774.0,5500000.0,2020-02-18,96491.0,17.0,57.0,2.0
Hornsgatan 156,2.0,"HORNSTULL,",3011.0,5725000.0,2020-02-18,95417.0,15.0,60.0,2.0
Idungatan 7C,4.0,"Vasastan,",2358.0,7610000.0,2020-02-18,115303.0,25.0,66.0,2.0
Upplandsgatan 65A Gårdshus,2.0,"Vasastan - Odenplan,",2328.0,6650000.0,2020-02-18,114655.0,22.0,58.0,2.0
Norr Mälarstrand 78,6.0,"Kungsholmen,",4125.0,13500000.0,2020-02-18,129808.0,35.0,104.0,4.0
Inedalsgatan 9 F,3.0,"Kungsholmen,",2949.0,6840000.0,2020-02-18,84444.0,19.0,81.0,3.0
Bergsgatan 57,2.0,"Kungsholmen,",3176.0,15000000.0,2020-02-18,112782.0,16.0,133.0,4.0
Eriksbergsgatan 11,4.0,"Östermalm,",2284.0,13500000.0,2020-02-18,137755.0,13.0,98.0,3.0
Magnus Ladulåsgatan 35,4.0,"Södermalm,",3268.0,5820000.0,2020-02-18,77600.0,17.0,75.0,3.0
Karlsviksgatan 4,2.0,"Kungsholmen / Norr Mälarstrand,",2748.0,6025000.0,2020-02-18,91288.0,8.0,66.0,2.0
Torsgatan 38 A,4.0,"Vasastan,",2939.0,9300000.0,2020-02-18,122368.0,24.0,76.0,3.0
Fridhemsgatan 13,5.0,"Kungsholmen,",1774.0,3800000.0,2020-02-18,115152.0,27.0,33.0,2.0
Vintertullstorget 24,4.0,"Sofia,",4936.0,7600000.0,2020-02-17,89412.0,27.0,85.0,3.0
Kungsholmsgatan 15,5.0,"Kungsholmen,",3668.0,7360000.0,2020-02-17,103662.0,24.0,71.0,3.0
Bråvallagatan 8,2.0,"Vasastan - Birkastan,",1963.0,3400000.0,2020-02-17,130769.0,31.0,26.0,1.0
Upplandsgatan 79 A,2.0,"Vasastan - Odenplan,",2106.0,6100000.0,2020-02-17,105172.0,15.0,58.0,2.0
Odengatan 48A,3.0,"Vasastan - Sibirien,",1783.0,4000000.0,2020-02-17,114286.0,18.0,35.0,1.0
Furusundsgatan 15,1.0,"Gärdet,",1425.0,2650000.0,2020-02-17,110417.0,15.0,24.0,1.0
Dianavägen 22,2.0,"Hjorthagen,",3369.0,3650000.0,2020-02-17,81111.0,14.0,45.0,2.0
Madängsgatan 22,4.0,"Norra Djurgårdsstaden,",4998.0,7400000.0,2020-02-17,88095.0,19.0,84.0,4.0
Odengatan 71,4.0,"Vasastan,",3609.0,6400000.0,2020-02-17,91429.0,2.0,70.0,3.0
Baltzar von Platens gata 4,2.0,"Kungsholmen Norr Mälarstrand,",2183.0,4750000.0,2020-02-17,110465.0,19.0,43.0,2.0
Falugatan 17,2.0,"Vasastan,",1984.0,3400000.0,2020-02-17,103030.0,19.0,33.0,1.0
Drottningholmsvägen 72,2.0,"Kungsholmen,",1974.0,3450000.0,2020-02-17,90789.0,15.0,38.0,2.0
Erstagatan 13,1.0,"Södermalm- Sofia,",2130.0,4150000.0,2020-02-17,98810.0,22.0,42.0,2.0
Heimdalsgatan 7,4.0,"Vasastan,",2572.0,9350000.0,2020-02-17,112651.0,21.0,83.0,3.0
Rutger Fuchsgatan 4,5.0,"Sofia,",1211.0,2800000.0,2020-02-16,121739.0,22.0,23.0,1.0
Ulriksborgsgatan 9,5.0,"Lindhagen,",3912.0,6275000.0,2020-02-16,88380.0,14.0,71.0,3.0
Sturegatan 40,3.0,"Östermalm,",3634.0,9550000.0,2020-02-16,134507.0,6.0,71.0,3.0
Fatburs Kvarngata 11,7.0,"Maria,",5724.0,8305000.0,2020-02-15,81422.0,7.0,102.0,5.0
Kungsholmsgatan 15,2.0,"Kungsholmen,",2747.0,5200000.0,2020-02-15,86667.0,5.0,60.0,2.0
Bondegatan 46,3.0,"Katarina,",1268.0,2670000.0,2020-02-14,127143.0,27.0,21.0,1.0
Rörstrandsgatan 56 A,4.0,"Vasastan - Birkastan,",3572.0,6650000.0,2020-02-14,105556.0,15.0,63.0,3.0
Engelbrektsgatan 12,1.0,"Östermalm,",3902.0,11600000.0,2020-02-14,107407.0,7.0,108.0,4.0
Bråvallagatan 12 A,1.0,"Vasastan - Birkastan,",2319.0,7300000.0,2020-02-14,108955.0,22.0,67.0,2.0
Markvardsgatan 6A,1.0,"Vasastan,",1698.0,3800000.0,2020-02-14,108571.0,23.0,35.0,1.0
Skeppargatan 75,1.0,"Nedre Gärdet / Östermalm,",1254.0,2980000.0,2020-02-14,124167.0,30.0,24.0,1.0
Robert Almströmsgatan 8,5.0,"Birkastan,",1070.0,2750000.0,2020-02-14,130952.0,34.0,21.0,1.0
Dannemoragatan 8 b,3.0,"Vasastan,",2890.0,5610000.0,2020-03-18,93500.0,12.0,60.0,2.0
